ID,Name,Password,Category,Pref1,Pref2,Pref3,Pref4,Department,Marks,JEE_Rank,Allocated
14341,Vikas Ghosh,oRzZNpJgg,SC,CSE,TT,IT,APM,CSE,63,7295,1
33550,Rahul Singh,ykfHMVYqB,OBC,CSE,APM,IT,TT,CSE,89,8430,1
53099,Arjun Vikas Reddy,SIRPAsYNa,GEN,TT,APM,CSE,IT,TT,96,10175,1
89000,Vikas Roy,UBw5i0OMS,OBC,APM,TT,CSE,IT,APM,72,10541,1
6645,Priya Das,fURRhw8JU,OBC,TT,APM,IT,CSE,TT,98,11332,1
29857,Kavya Singh,gbjIf5fFp,SC,APM,TT,IT,CSE,APM,26,11781,1
5248,Abhishek Amit Dutta,KF3ipfANs,GEN,TT,IT,APM,CSE,TT,27,11835,1
44618,Aishwarya Chatterjee,hNGJXvgCO,GEN,CSE,TT,IT,APM,CSE,8,12237,1
34314,Sandeep Riya Mukherjee,WmuBBfdJ2,OBC,CSE,TT,IT,APM,IT,13,12908,1
2720,Riya Kunal Gupta,gUyw2hi6u,SC,TT,APM,IT,CSE,APM,26,13454,1
7326,Rahul Ghosh,EhoCbQFVM,GEN,TT,APM,CSE,IT,APM,68,13535,1
70364,Ananya Mukherjee,jj1V4ZvcZ,ST,TT,APM,CSE,IT,IT,85,13843,1
5099,Abhishek Chatterjee,8CUMrF90z,OBC,APM,IT,TT,CSE,IT,88,13976,1
78815,Sneha Ghosh,evDDlR2kN,OBC,IT,APM,TT,CSE,IT,54,14090,1
26822,Abhishek Rahul Ghosh,yRqT0QLlF,GEN,TT,IT,APM,CSE,IT,81,15353,1
3652,Ananya Aishwarya Joshi,fSXEQkAIN,SC,APM,CSE,TT,IT,IT,47,15420,1
17078,Kavya Ghosh,LGCLqXvev,GEN,CSE,TT,IT,APM,IT,41,16012,1
74717,Ananya Sneha Patel,6B04ANFL0,OBC,TT,APM,IT,CSE,IT,41,16737,1
81449,Ishita Joshi,xbGnt7Egw,SC,CSE,TT,IT,APM,IT,2,17965,1
20616,Sandeep Nikhil Dutta,4rGpr9orv,SC,TT,IT,CSE,APM,NA,4,19312,0
13660,Neha Sharma,EM87KPMeg,OBC,APM,TT,CSE,IT,NA,28,19756,0
13773,Ishita Abhishek Sharma,4w1pzjbdw,GEN,APM,CSE,IT,TT,NA,38,20790,0
25318,Shreya Swati Chatterjee,VUGwat9Ak,GEN,CSE,TT,IT,APM,NA,37,21160,0
57375,Rohit Patel,aZ0OEBc9b,ST,IT,TT,CSE,APM,NA,17,22029,0
60824,Swati Gupta,2rWTE6uay,GEN,CSE,TT,IT,APM,NA,96,22819,0
77787,Amit Banerjee,Wkwv9AmQC,ST,TT,IT,APM,CSE,NA,70,24208,0
61656,Sandeep Priya Reddy,wpCm8O2iA,SC,APM,TT,CSE,IT,NA,37,24260,0
18374,Pranav Chatterjee,xMSF4Qhac,OBC,APM,CSE,IT,TT,NA,38,24919,0
68958,Sandeep Shreya Gupta,cTtUVmiVW,SC,IT,APM,TT,CSE,NA,71,26437,0
44972,Rahul Abhishek Banerjee,RQyl60ZH7,SC,TT,APM,CSE,IT,NA,77,26577,0
75110,Ananya Saha,NeOeLTl2w,GEN,APM,CSE,TT,IT,NA,16,27263,0
54198,Rohit Sharma,dTP0rCeiG,OBC,TT,IT,CSE,APM,NA,27,27635,0
57493,Kavya Chatterjee,gV5ei40Gx,OBC,TT,IT,CSE,APM,NA,1,28338,0
27581,Ishita Verma,HEkeuBFXS,ST,TT,APM,CSE,IT,NA,44,29344,0
78917,Sourav Sandeep Saha,k3i4Qy5TE,OBC,IT,APM,CSE,TT,NA,30,29581,0
49851,Neha Patel,iqbi8WjmE,SC,TT,IT,CSE,APM,NA,53,30187,0
2003,Riya Sandeep Singh,Jx4MKGpen,OBC,CSE,IT,APM,TT,NA,92,30415,0
59754,Abhishek Nikhil Kumar,kwq0P8e1L,ST,APM,TT,IT,CSE,NA,10,30668,0
17941,Shreya Reddy,X0iNLfnzM,SC,IT,TT,APM,CSE,NA,31,31286,0
88727,Amit Das,ULHBfAcpg,SC,APM,IT,TT,CSE,NA,95,32412,0
53045,Rohit Kunal Mehta,p8O6ycs22,GEN,TT,CSE,APM,IT,NA,44,32500,0
50872,Aishwarya Ananya Reddy,dwmN5i33R,ST,CSE,IT,APM,TT,NA,7,32501,0
65501,Kavya Sharma,9SITxAqWN,GEN,TT,APM,IT,CSE,NA,35,33313,0
5175,Sneha Verma,fFbKX3i8b,OBC,TT,CSE,IT,APM,NA,87,34671,0
58079,Sandeep Rahul Saha,4YfwagoBs,ST,TT,IT,CSE,APM,NA,58,34689,0
16159,Sourav Reddy,t2blJgW3u,ST,CSE,APM,IT,TT,NA,79,35276,0
33579,Sourav Mukherjee,Sxkm7r84u,SC,APM,IT,CSE,TT,NA,80,35399,0
82146,Amit Joshi,NrgFKWc2Q,GEN,IT,TT,APM,CSE,NA,47,35429,0
81073,Amit Abhishek Roy,2VWLI8lwD,OBC,APM,TT,IT,CSE,NA,79,35587,0
69608,Pranav Ishita Chatterjee,onCJ30gX6,SC,APM,TT,IT,CSE,NA,44,36076,0
71732,Nikhil Reddy,HnpUFt1Wl,GEN,TT,APM,CSE,IT,NA,21,36777,0
44683,Shreya Iyer,IMPhCSBTc,SC,TT,APM,CSE,IT,NA,6,37149,0
74253,Nikhil Rahul Saha,iM9HNrp0i,GEN,TT,APM,CSE,IT,NA,63,37636,0
56721,Priya Amit Iyer,RgSKrmwof,GEN,APM,TT,CSE,IT,NA,77,37972,0
64724,Ananya Mandal,WuPMmwUVj,SC,IT,APM,TT,CSE,NA,56,38861,0
20718,Kavya Amit Mehta,ZYraAwVv7,SC,CSE,TT,IT,APM,NA,24,38946,0
66312,Nikhil Mukherjee,Q4z8lYnQO,GEN,APM,IT,TT,CSE,NA,66,39278,0
52474,Sourav Priya Reddy,69696969,ST,CSE,IT,TT,APM,NA,87,39671,0
63564,Rohit Roy,b8JMWtlCR,SC,CSE,IT,TT,APM,NA,0,39793,0
88053,Riya Rohit Saha,ONEMxqVjV,OBC,IT,APM,TT,CSE,NA,15,39903,0
36687,Ananya Abhishek Mandal,aBSWzVgxU,ST,TT,IT,APM,CSE,NA,28,40438,0
84529,Pranav Saha,yqruPkm0F,SC,IT,CSE,APM,TT,NA,48,40667,0
24195,Ananya Reddy,rkABxvoNh,GEN,APM,TT,IT,CSE,NA,55,41991,0
47331,Shreya Ananya Sharma,VXhqhuh99,GEN,TT,IT,APM,CSE,NA,42,42210,0
29510,Shreya Arjun Ghosh,94T5kwdZV,SC,APM,TT,CSE,IT,NA,1,42662,0
26066,Riya Riya Mukherjee,e8RR0uudX,SC,TT,IT,APM,CSE,NA,71,42716,0
6798,Shreya Abhishek Banerjee,INMKdTkhv,GEN,CSE,IT,TT,APM,NA,61,42828,0
34028,Swati Neha Iyer,U6HTJ5LdT,GEN,APM,TT,CSE,IT,NA,6,43247,0
4016,Arjun Patel,kJcVhhJFH,OBC,CSE,APM,TT,IT,NA,40,44714,0
72973,Ishita Iyer,zAMrmoGSc,GEN,CSE,IT,TT,APM,NA,89,45332,0
90032,Shreya Aishwarya Chatterjee,F0i3IxCbJ,OBC,TT,IT,APM,CSE,NA,54,46154,0
16557,Pooja Kumar,xQN1JGpPF,GEN,IT,CSE,APM,TT,NA,82,46212,0
80601,Amit Tanvi Agarwal,gMboKyiLd,GEN,APM,IT,TT,CSE,NA,92,46459,0
63297,Swati Pooja Mukherjee,6176tNDfS,SC,TT,APM,CSE,IT,NA,58,46472,0
60031,Pranav Agarwal,8pKXUFKWX,OBC,IT,CSE,APM,TT,NA,29,46629,0
45247,Arjun Arjun Mehta,QvhftQQzV,GEN,APM,IT,TT,CSE,NA,77,47347,0
33978,Sandeep Nikhil Ghosh,puz01McQT,ST,APM,CSE,IT,TT,NA,89,47479,0
8019,Neha Sandeep Ghosh,vKqkV549S,SC,IT,TT,CSE,APM,NA,36,48298,0
11923,Sandeep Pranav Verma,zj8sQKW6n,ST,IT,APM,CSE,TT,NA,26,49301,0
69143,Aishwarya Arjun Roy,nWLzkOuRc,ST,APM,TT,CSE,IT,NA,46,49524,0
